"verbo","papel"
"sancionar","Experiencer"
"sangrar","Experiencer"
"satisfazer","Experiencer"
"seduzir","Experiencer"
"segurar","Experiencer"
"sensibilizar","Experiencer"
"seviciar","Experiencer"
"simpatizar","Experiencer"
"sindicar","Experiencer"
"sobalçar","Experiencer"
"soberanizar","Experiencer"
"sobrecarregar","Experiencer"
"sobredoirar","Experiencer"
"sobredourar","Experiencer"
"sobressaltar","Experiencer"
"socorrer","Experiencer"
"soluçar","Experiencer"
"sondar","Experiencer"
"soprar","Experiencer"
"suavizar","Experiencer"
"subentender","Experiencer"
"subir","Experiencer"
"sublimar","Experiencer"
"subscrever","Experiencer"
"sufocar","Experiencer"
"sugerir","Experiencer"
"sugilar","Experiencer"
"supliciar","Experiencer"
"supor","Experiencer"
"suportar","Experiencer"
"susceptibilizar","Experiencer"
"suscetibilizar","Experiencer"
"suscitar","Experiencer"
"suspeitar","Experiencer"
"suspirar","Experiencer"
"sustentar","Experiencer"
"tascar","Experiencer"
"tatear","Experiencer"
"temer","Experiencer"
"temperar","Experiencer"
"tencionar","Experiencer"
"tentar","Experiencer"
"tentear1","Experiencer"
"ter","Experiencer"
"testemunhar","Experiencer"
"tirar","Experiencer"
"tocaiar","Experiencer"
"tocar","Experiencer"
"toldar","Experiencer"
"tolerar","Experiencer"
"tolher","Experiencer"
"tomar","Experiencer"
"torcer","Experiencer"
"torturar","Experiencer"
"traçar1","Experiencer"
"tragar","Experiencer"
"tranqüilizar","Experiencer"
"translumbrar","Experiencer"
"transportar","Experiencer"
"tratear","Experiencer"
"traumatizar","Experiencer"
"travar","Experiencer"
"tresandar","Experiencer"
"trilhar","Experiencer"
"trincar","Experiencer"
"tripudiar","Experiencer"
"triunfar","Experiencer"
"tumultuar","Experiencer"
"ulcerar","Experiencer"
"ulular","Experiencer"
"unhar","Experiencer"
"unir","Experiencer"
"vadiar","Experiencer"
"vagir","Experiencer"
"vasculhar","Experiencer"
"velar1","Experiencer"
"venerar","Experiencer"
"ver","Experiencer"
"verberar","Experiencer"
"verificar","Experiencer"
"versar1","Experiencer"
"vetar","Experiencer"
"vexar","Experiencer"
"vigiar","Experiencer"
"visitar","Experiencer"
"vistoriar","Experiencer"
"visualizar","Experiencer"
"vituperar","Experiencer"
"voltear","Experiencer"
"voltejar","Experiencer"
"volutear","Experiencer"
"vulcanizar","Experiencer"
"vulnerar","Experiencer"
"zangar","Experiencer"
"zingrar","Experiencer"
