"verbo","papel"
"desfavorecer","Agent"
"desfazer","Agent"
"desfechar","Agent"
"desferir","Agent"
"desfiar","Agent"
"desfibrar","Agent"
"desfilar","Agent"
"desflorescer","Agent"
"desflorestar","Agent"
"desfolhar","Agent"
"desfraldar","Agent"
"desfrechar","Agent"
"desfrutar","Agent"
"desgalhar","Agent"
"desgelar","Agent"
"desgrampear","Agent"
"desgrenhar","Agent"
"desgrudar","Agent"
"desguarnecer","Agent"
"desidratar","Agent"
"designar","Agent"
"desiludir","Agent"
"desimantar","Agent"
"desimobilizar","Agent"
"desinchar","Agent"
"desincorporar","Agent"
"desinflamar","Agent"
"desinibir","Agent"
"desinquietar","Agent"
"desirmanar","Agent"
"desjejuar","Agent"
"desjuntar","Agent"
"deslacrar","Agent"
"deslegitimar","Agent"
"desligar","Agent"
"deslindar","Agent"
"deslisar","Agent"
"deslocar","Agent"
"deslodar","Agent"
"deslombar","Agent"
"deslustrar","Agent"
"desmagnetizar","Agent"
"desmaiar","Agent"
"desmanchar","Agent"
"desmantelar","Agent"
"desmatar","Agent"
"desmembrar","Agent"
"desmerecer","Agent"
"desmiolar","Agent"
"desmiuçar","Agent"
"desmobiliar","Agent"
"desmoitar","Agent"
"desmontar","Agent"
"desmoralizar","Agent"
"desmoronar","Agent"
"desmotivar","Agent"
"desmuniciar","Agent"
"desnobrecer","Agent"
"desnuar","Agent"
"desnudar","Agent"
"desonestar","Agent"
"desonrar","Agent"
"desornar","Agent"
"despachar","Agent"
"desparafusar","Agent"
"despeçar","Agent"
"despedaçar","Agent"
"despedir","Agent"
"despegar","Agent"
"despejar","Agent"
"despenar1","Agent"
"despenar2","Agent"
"despender","Agent"
"despendurar","Agent"
"despenicar","Agent"
"desperdiçar","Agent"
"despersuadir","Agent"
"despertar","Agent"
"despetalar","Agent"
"despiolhar","Agent"
"despir","Agent"
"despistar","Agent"
"despojar","Agent"
"despolir","Agent"
"despoluir","Agent"
"desposar","Agent"
"despregar1","Agent"
"desprender","Agent"
"desprestigiar","Agent"
"desprezar","Agent"
"desprover","Agent"
"desquiciar","Agent"
"desquitar","Agent"
"desraigar","Agent"
"desramar","Agent"
"desrugar","Agent"
"dessalinizar","Agent"
"dessangrar","Agent"
"dessecar","Agent"
"dessumir","Agent"
"destacar","Agent"
"destampar","Agent"
